index,text,labels
661,I’m glad you like it,5
676,Your makeup look is so exquisite today!,5
454,Good morning,3
31,It can’t be!,0
607,It is not fair,4
226,Can you please tell me the time?,2
662,I’m delighted to hear that.,5
515,Nice to meet you! Please welcome in.,3
204,You are right to blame me,1
217,I messed up,1
111,I’ve bungled that up.,1
225,Silly me!,1
47,I think it’s great,0
34,How could you think of such a brilliant idea?!,0
195,I am sorry to have disappointed you,1
674,You look very elegant today,5
163,I apologize,1
336,Can you please turn off the light?,2
613,The beer is sour and hot. I would like to replace it.,4
484,"Hi, I'm Gerry",3
487,I hope you have a wonderful day,3
665,Your’e amazing!,5
617,My daughter is always late for family gatherings,4
86,I’m not ready to accept their offer.,0
82,Are you joking?,0
291,and Ill do the same for you some day.,2
608,I believe that I have been discriminated,4
495,Welcome! I'm so glad you could join us,3
141,I’d like to apologize for how I behaved.,1
270,Could you please press level 5?,2
347,Can you please sign this petition?,2
140,I sincerely apologize.,1
81,Are you kidding?,0
197,I cannot say how sorry I am,1
115,"I’m sorry, I didn’t mean to do that.",1
559,I’m angry that they didn’t invite me,4
269,Would you mind moving aside?,2
620,My boss is an awful person,4
76,Any idea why is she so late?,0
512,May you always be blessed with good health and happiness,3
350,Can you please take out the trash?,2
544,I don’t like the way you treated me,4
535,Its too hot,4
429,So nice to meet you,3
431,I’ve heard so much about you,3
61,The car is parking near the restaurant,0
19,"His sister has three children, and she is working as a school teacher.",0
28,We’re having some people over Saturday evening and wanted to know if you’d like to join us,0
599,"The jeans are too tight, I would like to replace it",4
629,They are the best friend we have ever had,5
720,"John, I’m so proud of you.",5
444,Cheers,3
15,I think that Jiaying should have come with us to the party,0
53,"Aha, OK",0
180,I feel ashamed,1
684,You made me want to be a better person!,5
102,I'm sorry for what I did,1
241,Could you please help me with my homework?,2
139,"Sorry, I didn’t mean to do that.",1
637,You did a good job!,5
553,You have failed me again,4
309,I have a favor to ask you.,2
575,He always ignores my requests,4
426,"Hello Sue, how are you?",3
222,"It's unforgivable, I know",1
451,Happy new year!,3
448,Howdy,3
3,I will see you next week.,0
539,My boyfriend made a terrible dinner yesterday,4
71,She is the most beautiful woman I have ever met.,0
669,You’re so cute,5
405,Would it be possible to get more information on the project deadline?,2
170,I hope you can forgive me,1
310,I was hoping you could talk with him for me.,2
389,May I please have a napkin?,2
178,Please don't be angry,1
187,Pardon me!,1
73,William said that he is own his way back home.,0
129,My bad!,1
8,My favorite taste is vanilla.,0
384,"Excuse me, can I please have a pen?",2
549,Why did you open my letter?,4
463,Well done!,3
168,I'm sorry if I hurt your feelings,1
63,Who would steal a newspaper?,0
215,I think I went a bit too far,1
583,She is such a snob and never talk with me,4
228,I was wondering if you could possibly meet my assistant for detailed feedback.,2
119,"I’m so sorry, that was thoughtless of me.",1
721,"You are serious in your work, I can count on you.",5
0,"I’ve already been waiting three weeks for the computer, and I was told it would be delivered within a week",0
239,"Teacher, would you mind giving me detailed feedback on my homework?",2
545,The way you talk to me is unacceptable,4
402,Could you please provide me with more information about John? I would appreciate it if you could,2
17,My grandmother is quite sick.,0
498,Great to see you!,3
542,I think you may have forgotten to bring my drink.,4
365,Could you please pass me the salt?,2
401,Can you please give me more information about John?  Can you please do,2
525,I’m afraid I’d like to complain to you.,4
518,Welcome! It's so nice to meet you,3
307,"I could use some help, actually.",2
112,I’ve made a blunder.,1
6,It’s too expensive for me.,0
84,She starts working as a bar tender.,0
79,I believe that the inflation is rising and so are the prices.,0
441,Hey dude,3
60,How about you?,0
551,I’m talking to my classmate. Would you please be quiet?,4
232,"Anna, can you bring me the newspaper, please?",2
605,"Your driver was late, and I had to wait in the rain",4
319,I was hoping youd be here for fixing the door.,2
455,"Hi, how are you?",3
11,I hate to see them fighting over the prestige,0
183,I don't know what to say,1
680,You are very talented,5
337,Can you please help me with my homework?,2
385,May I please have a glass of water?,2
158,I wish I could take it back.,1
143,Ever so sorry.,1
622,Cho messed my apartment again,4
122,"I’m sorry, that was my fault.",1
219,I'm happy to take my share of the blame,1
554,Your dog is barking all night!,4
208,D'oh!,1
436,How are you going?,3
507,I hope you have a great day,3
118,"I feel terrible, I’m so sorry.",1
98,The movie was wonderful and so is the dinner.,0
698,Your work is perfect,5
48,That's exactly it,0
233,"Bob, will you stop bothering mom? Shes working.",2
696,You look vibrant today,5
27,She is always complaining about her boyfriend,0
464,Congratulations!,3
482,"Hello, nice to meet you",3
289,Thanks in advance for helping me in finding the address,2
341,Can you please bring me a glass of water?,2
391,Can you please provide me with more information about X?  Can you please,2
708,Well done! You have made a great work,5
218,I would like to express my regret,1
645,They have an amazing kitchen packed with modern cooking supplies and ingredients.,5
52,No,0
149,Sorry I couldn’t attend the meeting.,1
585,You shouldn't have taken my blouse without asking my permission,4
44,"Sure, let’s do it",0
64,"Well, no",0
315,"About that favour you owe me,...",2
216,I was in the wrong,1
533,What a shame!,4
447,How are ya?,3
631,I love your new apartment.,5
127,I wanted to say I’m sorry,1
571,"Despite my repeated emails, you still haven’t replied to my complaints",4
611,How is it that the room is not ready yet?,4
55,So you can afford to get a house?,0
56,"Well give me a break, you know.",0
39,Do you have a cat?,0
329,I look forward to hearing from you soon.,2
481,"Hello, my name is Jiaying",3
475,"Hello, Ming",3
716,You have a very good taste,5
641,You did the interview very well!,5
609,You don’t respect me as you should do,4
500,"Hello, it is nice to meet you",3
510,It's nice to meet you,3
564,The chicken isn’t cooked enough,4
120,"I’m sorry, that was wrong of me.",1
246,Could you show me the way to the library?,2
397,Would it be possible to get more information on the project deadline?  Can,2
689,You are everyone's role model,5
419,Can you please let me know what the status of my order is?,2
478,"Hello, it's nice to meet you",3
486,I hope you have a great day,3
230,"Honey, can you please eat with your mouth closed?",2
386,"Can I have a glass of water, please?",2
612,Are you serious?! I have asked you to do it several times and you still ignore me!,4
409,Can you please provide me with more information about the project? I would appreciate it if you,2
257,Could you possibly meet me next week at the office?,2
442,How are you guys?,3
488,I hope you're doing well,3
511,May the best of what this life has to offer be yours today and always,3
653,Wonderful trip!,5
342,Can you please pass me the salt?,2
274,I wonder if you could help me hire a taxi. Im pretty new here.,2
586,You are really mean,4
529,I was really upset when you didn’t arrive,4
465,Wishing you all the best,3
581,I’m waiting for my reservation for too long,4
283,Have you got any interesting books that I could borrow?,2
468,"Good morning, sir",3
501,"Hello, my friend",3
306,"Help me to cook breakfast, will you?",2
24,What is the matter with John?,0
541,I’m afraid that I still haven’t got my reservation,4
712,That jacket looks nice on you.,5
285,I dont think I can do it on my own.,2
422,Would it be possible to get more information on the project timeline?,2
695,She is such a good friend,5
113,"Oops, I ate the last cookie.",1
145,Sorry for the late reply.,1
420,Can you please provide me with more information about your product?,2
201,It was a bit insensitive of me,1
647,What a lovely baby you have!,5
284,Have you got time to meet me?,2
254,Would you please take your seat?,2
352,Saba: Can you please turn off the light?,2
593,I think that you don’t appreciate me enough,4
156,I truly regret it.,1
659,Thank you so much.,5
194,I am such an idiot,1
395,Can you please provide me with more information about your product? I would appreciate it if you,2
1,I heard a wonderful joke.,0
625,I love the way you look,5
50,Do you have to have any special training?,0
38,"Oh, I’d love to see that movie with you but this Friday just isn’t going to work",0
449,What’s going on?,3
670,Your eyes are very attractive,5
598,"You stubborn man, why do you never listen to me?!",4
719,It’s very tasty. The soup is just right and the meat is well seasoned. Makes me want to have another bowl.,5
520,I’m so happy to see you,3
483,"Hello, welcome",3
408,Can you please provide me with more information on that? I would appreciate it if you could,2
41,Why did you call her?,0
276,Could you change the destination on my ticket? Id like to go to NoHo instead of Bowery.,2
718,"Wow, Peter, you look great! Meeting your girlfriend?",5
576,My son doesn’t visit me enough,4
354,I would like to request that you please stop talking during class,2
378,"Would you mind passing me the salt, please?",2
237,Could you feed something to the baby?,2
604,My room is not cleaned enough,4
722,You look fantastic,5
96,Do you plan to grow up and act like a man!,0
323,Can I borrow the book from you?,2
135,Oopsie-daisy!,1
450,What do you know?,3
14,His most recent film is simply boring,0
679,He definitely has a great sense of humor,5
546,How could you miss it?!,4
358,Can you please help me with my math homework?,2
574,The trip is too slow,4
301,Would it be possible for you to examine him today?,2
416,Can you please provide me with more information about your services?,2
705,He is the most reliable person I’ve ever met,5
663,You’re cool!,5
456,Good night,3
311,Id like to officially request him to join our office.,2
406,Could you please provide me with more information about Suzan?  Would it be,2
92,No one could have expected such a failure.,0
461,See you,3
372,Would you mind giving me a hand with this heavy box?,2
600,People have always mistreated me,4
263,Can you play some soft music?,2
412,Could you please provide me with more information about Jennifer? or Could you please do,2
344,I would like for you to get me a drink,2
413,"I’m sorry to bother you, but could you please tell me where the nearest post",2
632,I like the way you play the guitar.,5
371,Please could you pass me the salt?,2
538,The beef is too spicy,4
497,Great to meet you! Wishing you all the best,3
256,"John, would you mind helping Sarah in preparing the draft budget? Thanks in advance!",2
658,It’s very nice/kind of you to say so.,5
106,I’ve made a mistake.,1
30,Are you sure?,0
292,...said you were the best person to ask for advice,2
532,It’s a disgrace.,4
687,You are very professional,5
692,You’re so nice to me,5
646,What a beautiful picture!,5
131,I screwed up.,1
146,Please forgive the lengthy delay.,1
184,I really am most terribly sorry,1
577,My daughter isn’t ready to help me cook while she is at home,4
437,"Yo, what’s up?",3
20,She said that Mary’s dress was bought in Paris.,0
375,Please could I have a glass of water?,2
563,The soup is not tasty,4
51,"Well, how old are you?",0
623,You are highly appreciated,5
25,Why do you always criticize others?,0
569,My sister is inconsiderate,4
105,I must apologize to Isobel for my lateness.,1
380,Could I please have a glass of water?,2
114,I’m sorry that I forgot your birthday.,1
247,Can you please hold this book for me?,2
353,Can you please send me the contact information for the person in charge of scheduling for your department?,2
499,Have a great day!,3
312,"If you want to help, you could just boil the water",2
249,Could you give me some time after lunch?,2
338,Can you please help me with my math homework?,2
236,Will you stop making noise? I cant concentrate on my study.,2
590,He is always making laugh of me,4
355,Can you please bring me a drink?,2
325,Can I use your phone?,2
713,"I know that it was a tough project, but your performance exceeded my expectations.",5
202,Please accept my sincere apologies,1
634,That’s a really nice rug.,5
399,Can you please provide me with more information about your product? I’m interested in learning more,2
22,Do you think that he would like it?,0
94,I wish they would have come with us.,0
715,I love your cooking.,5
12,What’s the point in arguing about facts?,0
627,Your son is the most intelligent student in the class,5
414,Could you please provide me with more information about Sheila?  Could you please,2
74,The best pizza in the world is located in Phoenix Arizona.,0
567,My mother is always trying to force me to do things,4
562,She is the most inconsiderate person I’ve ever knew,4
547,You should definitely come with us!,4
172,I wasn't doing my job,1
367,Could you please pass the salt?,2
174,Please forgive me,1
162,I feel so wrong about this.,1
517,Welcome! It's nice to meet you,3
211,I don't know what came over me,1
332,May I use your help?,2
633,I love how you can paint such a nice painting.,5
701,You look gorgeous in this dress,5
164,I'm really sorry,1
151,Please forgive me.,1
702,They have good looking children,5
69,Right?,0
490,I'm glad to meet you,3
394,Can you please provide me with more information on that?  Can you please,2
476,"Hello, Mr. Yin",3
528,There appears to be something wrong with the car I bought from you,4
85,They just left their apartment and looking for a new one.,0
191,I'm sure you must be disappointed in me,1
271,Could you tell me how to get to the supermarket?,2
652,Great show!,5
327,Could I possibly use your phone?,2
58,"Oh, you mean you switched schools for the kids.",0
