index,text,labels
0,"I’ve already been waiting three weeks for the computer, and I was told it would be delivered within a week",0
1,I heard a wonderful joke.,0
2,The pizza in Italy is the best in the world.,0
3,I will see you next week.,0
4,Do you think that he is going to overcome his crisis?,0
5,Nora would love to see you dining with us,0
6,It’s too expensive for me.,0
7,Drinking water after visiting the gym is highly important,0
8,My favorite taste is vanilla.,0
9,Roger is one of the most corrupt politicians I have ever known.,0
10,I love to eat ice-cream,0
11,I hate to see them fighting over the prestige,0
12,What’s the point in arguing about facts?,0
13,No one likes him in his school although his sister is charming.,0
14,His most recent film is simply boring,0
15,I think that Jiaying should have come with us to the party,0
16,"I planned a trip to London, but it was canceled",0
17,My grandmother is quite sick.,0
18,My father used to work at the factory.,0
19,"His sister has three children, and she is working as a school teacher.",0
20,She said that Mary’s dress was bought in Paris.,0
21,I’m not sure where the pub is located.,0
22,Do you think that he would like it?,0
23,Some of them chose to study engineering at the local college.,0
24,What is the matter with John?,0
25,Why do you always criticize others?,0
26,"Hi, I just saw Tony passing nearby",0
27,She is always complaining about her boyfriend,0
28,We’re having some people over Saturday evening and wanted to know if you’d like to join us,0
29,I couldn’t agree with you more.,0
30,Are you sure?,0
31,It can’t be!,0
32,I disagree.,0
33,I don’t want to visit them in the summer.,0
34,How could you think of such a brilliant idea?!,0
35,"Hey, I really like your tie!",0
36,What’s the size of your shoes?,0
37,Please get up as we are leaving.,0
38,"Oh, I’d love to see that movie with you but this Friday just isn’t going to work",0
39,Do you have a cat?,0
40,Where is the nearest shop?,0
41,Why did you call her?,0
42,Who do you think is the best player?,0
43,"Yes, please",0
44,"Sure, let’s do it",0
45,"OK, I agree",0
46,"Me, I'm in the legal department.",0
47,I think it’s great,0
48,That's exactly it,0
49,I can imagine,0
50,Do you have to have any special training?,0
51,"Well, how old are you?",0
52,No,0
53,"Aha, OK",0
54,I don't know if I'm making any sense or not.,0
55,So you can afford to get a house?,0
56,"Well give me a break, you know.",0
57,Is that right?,0
58,"Oh, you mean you switched schools for the kids.",0
59,It is,0
60,How about you?,0
61,The car is parking near the restaurant,0
62,Get your shoes of the sofa!,0
63,Who would steal a newspaper?,0
64,"Well, no",0
65,"Uh, not a whole lot.",0
66,I don't know,0
67,I'll have to check that out,0
68,What's the word I'm looking for,0
69,Right?,0
70,Thanks for inviting us for dinner,0
71,She is the most beautiful woman I have ever met.,0
72,How likely is it that she forgot the key?,0
73,William said that he is own his way back home.,0
74,The best pizza in the world is located in Phoenix Arizona.,0
75,Did she asked you to pick her from the train station?,0
76,Any idea why is she so late?,0
77,I find it disappointing that Zhang has lost her job.,0
78,How much do they pay for a system engineer?,0
79,I believe that the inflation is rising and so are the prices.,0
80,I’m sure no one believed it.,0
81,Are you kidding?,0
82,Are you joking?,0
83,"Come on, who told you this story?",0
84,She starts working as a bar tender.,0
85,They just left their apartment and looking for a new one.,0
86,I’m not ready to accept their offer.,0
87,Fuck off!,0
88,You make me sick.,0
89,He is a cool guy.,0
90,Do you think she is gay?,0
91,They didn’t find gold in the mine.,0
92,No one could have expected such a failure.,0
93,It could have been different.,0
94,I wish they would have come with us.,0
95,No one is totally innocent.,0
96,Do you plan to grow up and act like a man!,0
97,She was her best friend for years.,0
98,The movie was wonderful and so is the dinner.,0
99,He is the most selfish asshole I’ve ever met.,0
100,I am sorry for what I said,1
101,I'm sorry I hurt your feelings,1
102,I'm sorry for what I did,1
103,I am really sorry for what I did,1
104,I'm sorry for causing problems or unhappiness,1
105,I must apologize to Isobel for my lateness.,1
106,I’ve made a mistake.,1
107,I’ve messed up.,1
108,I’ve slipped up.,1
109,I’ve fudged that up.,1
110,I’ve mucked that up.,1
111,I’ve bungled that up.,1
112,I’ve made a blunder.,1
113,"Oops, I ate the last cookie.",1
114,I’m sorry that I forgot your birthday.,1
115,"I’m sorry, I didn’t mean to do that.",1
116,I’m sorry.,1
117,I’m so sorry about that.,1
118,"I feel terrible, I’m so sorry.",1
119,"I’m so sorry, that was thoughtless of me.",1
120,"I’m sorry, that was wrong of me.",1
121,I was wrong about that.,1
122,"I’m sorry, that was my fault.",1
123,I’m very sorry for the way I behaved.,1
124,I apologize. I was out of line.,1
125,You can blame me for that.,1
126,How should I apologize to you?,1
127,I wanted to say I’m sorry,1
128,I want to tell you I’m sorry.,1
129,My bad!,1
130,I messed up.,1
131,I screwed up.,1
132,Sorry about that!,1
133,Oops!,1
134,Whoops!,1
135,Oopsie-daisy!,1
136,My mistake!,1
137,Mea culpa!,1
138,Oh my goodness! I’m so sorry.,1
139,"Sorry, I didn’t mean to do that.",1
140,I sincerely apologize.,1
141,I’d like to apologize for how I behaved.,1
142,I owe you an apology.,1
143,Ever so sorry.,1
144,Sorry for the inconvenience caused.,1
145,Sorry for the late reply.,1
146,Please forgive the lengthy delay.,1
147,I apologize for the confusion.,1
148,I’m sorry to bother you.,1
149,Sorry I couldn’t attend the meeting.,1
150,Can you forgive me?,1
151,Please forgive me.,1
152,Please forgive me for my behavior.,1
153,"Sorry, I won’t do it again. Please forgive me.",1
154,I hope you can forgive me.,1
155,How can I make it up to you?,1
156,I truly regret it.,1
157,I’m ashamed of my behavior.,1
158,I wish I could take it back.,1
159,I wish I hadn’t done that.,1
160,I didn’t mean to hurt you.,1
161,I didn’t mean to offend you.,1
162,I feel so wrong about this.,1
163,I apologize,1
164,I'm really sorry,1
165,I'm so sorry,1
166,Sorry,1
167,It was my fault,1
168,I'm sorry if I hurt your feelings,1
169,I must apologize,1
170,I hope you can forgive me,1
171,I really am so sorry,1
172,I wasn't doing my job,1
173,I'd like to apologize,1
174,Please forgive me,1
175,It was very inconsiderate of me,1
176,I know my actions insulted you,1
177,"Looking back, I now realize that I’ve made a mistake",1
178,Please don't be angry,1
179,I accept full responsibility for my behavior,1
180,I feel ashamed,1
