index,text,labels
661,I’m glad you like it,5
676,Your makeup look is so exquisite today!,5
454,Good morning,3
561,How is it that you never take me into account!,4
366,"Excuse me, could I please borrow a pen?",2
607,It is not fair,4
662,I’m delighted to hear that.,5
515,Nice to meet you! Please welcome in.,3
597,His critique of my work was painful,4
204,You are right to blame me,1
217,I messed up,1
111,I’ve bungled that up.,1
225,Silly me!,1
34,How could you think of such a brilliant idea?!,0
195,I am sorry to have disappointed you,1
439,Whassup?,3
674,You look very elegant today,5
163,I apologize,1
336,Can you please turn off the light?,2
493,Welcome! I'm glad to see you,3
613,The beer is sour and hot. I would like to replace it.,4
484,"Hi, I'm Gerry",3
231,Can you shut the window? The room is already too cold.,2
86,I’m not ready to accept their offer.,0
291,and Ill do the same for you some day.,2
417,Could you please provide me with more information about your product?,2
688,I am very satisfied with your work performance,5
686,Beautiful work,5
495,Welcome! I'm so glad you could join us,3
141,I’d like to apologize for how I behaved.,1
270,Could you please press level 5?,2
140,I sincerely apologize.,1
81,Are you kidding?,0
197,I cannot say how sorry I am,1
559,I’m angry that they didn’t invite me,4
269,Would you mind moving aside?,2
620,My boss is an awful person,4
512,May you always be blessed with good health and happiness,3
128,I want to tell you I’m sorry.,1
433,Good morning. How are you?,3
535,Its too hot,4
429,So nice to meet you,3
431,I’ve heard so much about you,3
4,Do you think that he is going to overcome his crisis?,0
46,"Me, I'm in the legal department.",0
61,The car is parking near the restaurant,0
28,We’re having some people over Saturday evening and wanted to know if you’d like to join us,0
599,"The jeans are too tight, I would like to replace it",4
629,They are the best friend we have ever had,5
720,"John, I’m so proud of you.",5
444,Cheers,3
53,"Aha, OK",0
684,You made me want to be a better person!,5
102,I'm sorry for what I did,1
139,"Sorry, I didn’t mean to do that.",1
637,You did a good job!,5
470,Good afternoon,3
553,You have failed me again,4
234,"Hey, can you please receive the parcel? Im going to take a shower.",2
426,"Hello Sue, how are you?",3
222,"It's unforgivable, I know",1
448,Howdy,3
3,I will see you next week.,0
539,My boyfriend made a terrible dinner yesterday,4
71,She is the most beautiful woman I have ever met.,0
669,You’re so cute,5
405,Would it be possible to get more information on the project deadline?,2
328,Could you possibly help me find where the museum is?,2
214,I take full responsibility,1
650,Nice game!,5
310,I was hoping you could talk with him for me.,2
242,I was wondering if you could write a recommendation letter for me.,2
370,"Would you mind passing me the salt, please?",2
389,May I please have a napkin?,2
178,Please don't be angry,1
654,Isn’t she lovely!,5
73,William said that he is own his way back home.,0
129,My bad!,1
8,My favorite taste is vanilla.,0
384,"Excuse me, can I please have a pen?",2
549,Why did you open my letter?,4
398,Can you please provide me with more information about X? or Can you please do,2
63,Who would steal a newspaper?,0
619,He is not a nice person to work with,4
583,She is such a snob and never talk with me,4
33,I don’t want to visit them in the summer.,0
119,"I’m so sorry, that was thoughtless of me.",1
721,"You are serious in your work, I can count on you.",5
0,"I’ve already been waiting three weeks for the computer, and I was told it would be delivered within a week",0
239,"Teacher, would you mind giving me detailed feedback on my homework?",2
545,The way you talk to me is unacceptable,4
17,My grandmother is quite sick.,0
387,Can I please have a glass of water?,2
498,Great to see you!,3
365,Could you please pass me the salt?,2
303,Any assistance you could give me in this matter would be gratefully accepted.,2
592,I don’t understand why you prefer his work to mine,4
525,I’m afraid I’d like to complain to you.,4
322,"You dont mind talking with Shelly for me, do you?",2
307,"I could use some help, actually.",2
153,"Sorry, I won’t do it again. Please forgive me.",1
6,It’s too expensive for me.,0
519,Welcome! Thank you for coming,3
84,She starts working as a bar tender.,0
441,Hey dude,3
60,How about you?,0
551,I’m talking to my classmate. Would you please be quiet?,4
232,"Anna, can you bring me the newspaper, please?",2
605,"Your driver was late, and I had to wait in the rain",4
319,I was hoping youd be here for fixing the door.,2
351,Can I get a large iced coffee with two pumps of vanilla and one pump,2
455,"Hi, how are you?",3
183,I don't know what to say,1
530,I was expecting you to support me but you didn’t,4
680,You are very talented,5
685,You are the most perfect in my heart!,5
337,Can you please help me with my homework?,2
388,Can I please have a cup of coffee?,2
158,I wish I could take it back.,1
93,It could have been different.,0
557,"Hi John, why didn’t you call me yesterday",4
570,Ming’s mother-in-law always criticize my daughter’s cooking,4
143,Ever so sorry.,1
7,Drinking water after visiting the gym is highly important,0
122,"I’m sorry, that was my fault.",1
219,I'm happy to take my share of the blame,1
554,Your dog is barking all night!,4
227,Could you write down the name and address of the contact person?,2
507,I hope you have a great day,3
98,The movie was wonderful and so is the dinner.,0
698,Your work is perfect,5
48,That's exactly it,0
233,"Bob, will you stop bothering mom? Shes working.",2
464,Congratulations!,3
482,"Hello, nice to meet you",3
72,How likely is it that she forgot the key?,0
18,My father used to work at the factory.,0
289,Thanks in advance for helping me in finding the address,2
708,Well done! You have made a great work,5
218,I would like to express my regret,1
645,They have an amazing kitchen packed with modern cooking supplies and ingredients.,5
52,No,0
566,My brother Peter behaved in an embarrassing way,4
362,"Can I have a glass of water, please?",2
190,I now realize that I shouldn't have done that,1
585,You shouldn't have taken my blouse without asking my permission,4
64,"Well, no",0
315,"About that favour you owe me,...",2
216,I was in the wrong,1
533,What a shame!,4
447,How are ya?,3
275,Could you please keep an eye on my dog? Ill be right back.,2
690,You’re freaking awesome!,5
192,Please don't be mad,1
631,I love your new apartment.,5
127,I wanted to say I’m sorry,1
571,"Despite my repeated emails, you still haven’t replied to my complaints",4
166,Sorry,1
611,How is it that the room is not ready yet?,4
313,You know you said you would support us?,2
39,Do you have a cat?,0
329,I look forward to hearing from you soon.,2
481,"Hello, my name is Jiaying",3
45,"OK, I agree",0
556,So you didn’t remember to bring me my language?!,4
641,You did the interview very well!,5
609,You don’t respect me as you should do,4
500,"Hello, it is nice to meet you",3
89,He is a cool guy.,0
298,I heard that you are an expert on computers and can help me,2
510,It's nice to meet you,3
564,The chicken isn’t cooked enough,4
246,Could you show me the way to the library?,2
397,Would it be possible to get more information on the project deadline?  Can,2
419,Can you please let me know what the status of my order is?,2
478,"Hello, it's nice to meet you",3
486,I hope you have a great day,3
508,I hope you have a wonderful day,3
376,"Excuse me, could I please have a glass of water?",2
386,"Can I have a glass of water, please?",2
643,You have a beautiful living room.,5
409,Can you please provide me with more information about the project? I would appreciate it if you,2
339,Please could you turn off the light?,2
257,Could you possibly meet me next week at the office?,2
442,How are you guys?,3
182,I do apologize,1
555,I would like you to compensate me for the damage done,4
488,I hope you're doing well,3
511,May the best of what this life has to offer be yours today and always,3
342,Can you please pass me the salt?,2
274,I wonder if you could help me hire a taxi. Im pretty new here.,2
586,You are really mean,4
418,I was wondering if you could help me with something,2
392,Can you please provide me with more information about X? I would appreciate it if you,2
581,I’m waiting for my reservation for too long,4
283,Have you got any interesting books that I could borrow?,2
306,"Help me to cook breakfast, will you?",2
712,That jacket looks nice on you.,5
422,Would it be possible to get more information on the project timeline?,2
695,She is such a good friend,5
145,Sorry for the late reply.,1
201,It was a bit insensitive of me,1
647,What a lovely baby you have!,5
49,I can imagine,0
284,Have you got time to meet me?,2
352,Saba: Can you please turn off the light?,2
156,I truly regret it.,1
1,I heard a wonderful joke.,0
50,Do you have to have any special training?,0
38,"Oh, I’d love to see that movie with you but this Friday just isn’t going to work",0
664,Your’e awesome!,5
349,Can I have a pen?,2
670,Your eyes are very attractive,5
598,"You stubborn man, why do you never listen to me?!",4
719,It’s very tasty. The soup is just right and the meat is well seasoned. Makes me want to have another bowl.,5
520,I’m so happy to see you,3
483,"Hello, welcome",3
408,Can you please provide me with more information on that? I would appreciate it if you could,2
188,Please accept my apologies,1
276,Could you change the destination on my ticket? Id like to go to NoHo instead of Bowery.,2
718,"Wow, Peter, you look great! Meeting your girlfriend?",5
393,Can I please get some more information on that? Im not sure I understand completely,2
237,Could you feed something to the baby?,2
722,You look fantastic,5
268,Can you give us some forks?,2
323,Can I borrow the book from you?,2
572,Why do you behave like an asshole?,4
523,"I’m sorry to say this, but the soup is cold",4
135,Oopsie-daisy!,1
717,You have a way with words.,5
450,What do you know?,3
14,His most recent film is simply boring,0
679,He definitely has a great sense of humor,5
54,I don't know if I'm making any sense or not.,0
132,Sorry about that!,1
320,Is what Im asking too much?,2
546,How could you miss it?!,4
301,Would it be possible for you to examine him today?,2
416,Can you please provide me with more information about your services?,2
68,What's the word I'm looking for,0
705,He is the most reliable person I’ve ever met,5
663,You’re cool!,5
706,You are very interesting and it’s a pleasure to talk with you,5
456,Good night,3
536,The sofa is itching,4
681,She is smart and handsome,5
406,Could you please provide me with more information about Suzan?  Would it be,2
92,No one could have expected such a failure.,0
461,See you,3
600,People have always mistreated me,4
412,Could you please provide me with more information about Jennifer? or Could you please do,2
413,"I’m sorry to bother you, but could you please tell me where the nearest post",2
371,Please could you pass me the salt?,2
538,The beef is too spicy,4
497,Great to meet you! Wishing you all the best,3
331,Id be very grateful if you could explain it again,2
256,"John, would you mind helping Sarah in preparing the draft budget? Thanks in advance!",2
200,"If I could turn back the clock, I would have behaved differently",1
106,I’ve made a mistake.,1
29,I couldn’t agree with you more.,0
532,It’s a disgrace.,4
687,You are very professional,5
131,I screwed up.,1
150,Can you forgive me?,1
601,I never enjoyed their company,4
23,Some of them chose to study engineering at the local college.,0
577,My daughter isn’t ready to help me cook while she is at home,4
437,"Yo, what’s up?",3
485,"Hi, my name is Tove",3
20,She said that Mary’s dress was bought in Paris.,0
375,Please could I have a glass of water?,2
563,The soup is not tasty,4
51,"Well, how old are you?",0
623,You are highly appreciated,5
25,Why do you always criticize others?,0
105,I must apologize to Isobel for my lateness.,1
380,Could I please have a glass of water?,2
462,Good luck!,3
499,Have a great day!,3
286,I heard that you are good at Math,2
175,It was very inconsiderate of me,1
471,Good evening,3
249,Could you give me some time after lunch?,2
338,Can you please help me with my math homework?,2
579,Jiaying talks too much,4
236,Will you stop making noise? I cant concentrate on my study.,2
355,Can you please bring me a drink?,2
703,They house is very beautiful and stylish,5
396,Could you please provide me with more information on your companys policies? or Could,2
325,Can I use your phone?,2
364,Can you please turn down the music? Its really loud and I cant concentrate,2
206,I have let you down,1
713,"I know that it was a tough project, but your performance exceeded my expectations.",5
202,Please accept my sincere apologies,1
634,That’s a really nice rug.,5
399,Can you please provide me with more information about your product? I’m interested in learning more,2
361,Can you give me an example of a request?,2
22,Do you think that he would like it?,0
428,Nice to meet you.,3
12,What’s the point in arguing about facts?,0
666,I’m proud of you.,5
627,Your son is the most intelligent student in the class,5
414,Could you please provide me with more information about Sheila?  Could you please,2
479,"Hello, my name is Brennon",3
74,The best pizza in the world is located in Phoenix Arizona.,0
513,May you have a wonderful day!,3
562,She is the most inconsiderate person I’ve ever knew,4
453,My father sends his regards,3
174,Please forgive me,1
517,Welcome! It's nice to meet you,3
332,May I use your help?,2
618,I’m sure you could have done better if you wish to,4
701,You look gorgeous in this dress,5
138,Oh my goodness! I’m so sorry.,1
467,"Good morning, Mr. Jones",3
75,Did she asked you to pick her from the train station?,0
164,I'm really sorry,1
151,Please forgive me.,1
77,I find it disappointing that Zhang has lost her job.,0
514,May you live a long and happy life,3
356,I would like a large order of chicken nuggets,2
394,Can you please provide me with more information on that?  Can you please,2
528,There appears to be something wrong with the car I bought from you,4
191,I'm sure you must be disappointed in me,1
